FID,roof,road,watr,conc,Veg,dry,irr,H,W
5605,0,0,0.0032,0,0.5392,0.2912,0.1664,0,30
5606,0,0,0.0016,0,0.52,0.2768,0.2016,0.0736,29.52
5607,0,0,0.0032,0,0.888,0.032,0.0768,0.83904,24.528
5608,0,0,0,0,0.8544,0.0624,0.0832,0.6624,25.68
5609,0,0,0,0,0.606153846,0.246153846,0.147692308,0.621846154,26.21538462
5610,0.031504059,0,0.0208,0.154095941,0.496,0.264,0.0336,0.3904,27.792
5611,0,0,0.592,0,0.2016,0.1808,0.0256,0.064,29.808
5612,0,0,0.6576,0,0.3056,0.032,0.0048,0,30
5613,0,0,0.6288,0.0624,0.3008,0.008,0,0,30
5614,0,0,0.587692308,0,0.407692308,0.004615385,0,0,30
5615,0,0,0.5264,0,0.4528,0.0208,0,0,30
5616,0,0,0.136,0.2816,0.4768,0.1056,0,0,30
5617,0.00840464,0,0.0256,0.44439536,0.4736,0.0432,0.0048,0.128,29.616
5618,0.014820717,0,0.0016,0.105179283,0.5632,0.2144,0.1008,0.496,28.512
5619,0,0,0.069230769,0,0.867692309,0.052307692,0.010769231,0.815384615,27.55384615
5620,0.009505485,0,0.0368,0.553694515,0.3904,0.0064,0.0032,0.128,29.616
5621,0,0,0.0144,0.9232,0.0608,0.0016,0,0,30
5622,0,0,0.0384,0.3664,0.56,0.0352,0,0,30
5623,0.061100437,0,0.04,0.447699563,0.448,0.0032,0,0.88,27.36
5624,0.092367592,0,0.036923077,0.450709331,0.415384616,0.004615385,0,1.276923077,26.16923077
5625,0.143102834,0,0,0.482497166,0.3296,0.0448,0,1.808,24.576
5626,0,0,0.0144,0,0.456,0.2576,0.272,0.08,29.76
5627,0,0,0.0192,0,0.4336,0.1824,0.3648,0.048,29.856
5628,0,0,0.053846154,0,0.52923077,0.261538462,0.155384615,0,30
5629,0.001899016,0,0.016,0.287700984,0.3968,0.2912,0.0064,0.032,29.904
5630,0.046626178,0,0.0224,0.358173822,0.4128,0.128,0.032,0.704,27.888
5631,0.023334307,0,0,0.331865693,0.1664,0.4752,0.0032,0.288,29.136
5632,0.022820822,0,0.0096,0.415579178,0.2912,0.2592,0.0016,0.304,29.088
5633,0,0,0.003076923,0.489230769,0.04,0.467692308,0,0,30
5634,0,0,0.072,0,0.3872,0.4432,0.0976,0.096,29.712
5635,0,0,0.096,0,0.632,0.2624,0.0096,0,30
5636,0,0,0.0192,0,0.096,0.8848,0,0.048,29.856
5637,0,0,0.064,0,0.1776,0.744,0.0144,0,30
5638,0,0,0.050769231,0,0.206153846,0.726153846,0.016923077,0.492307692,28.52307692
5639,0,0,0,0,0,1,0,0,30
5640,0,0,0.0032,0,0,0.9968,0,0,30
5641,0,0,0.0016,0.016,0.0032,0.9792,0,0,30
5642,0,0,0,0,0,1,0,0,30
5643,0.036923077,0,0.003076923,0.172307693,0.052307692,0.735384615,0,0.415384615,28.75384615
5644,0.001392034,0,0.0128,0.662607966,0.1984,0.12,0.0048,0.016,29.952
5645,0.004777778,0,0.024,0.064022222,0.3232,0.5232,0.0608,0.16,29.52
5646,0,0,0.0432,0,0.4496,0.4896,0.0176,0.064,29.808
5647,0,0,0.036923077,0,0.347692308,0.604615385,0.010769231,0.046153846,29.86153846
5648,0,0,0.0256,0,0.1728,0.7936,0.008,0.032,29.904
